Target distance: 100, step size: 2
649: (x, y) = (-16.8964, 50.8027)
650: (x, y) = (-15.042, 51.5519)
651: (x, y) = (-13.0615, 51.2735)
652: (x, y) = (-14.984, 51.8248)
653: (x, y) = (-14.4328, 49.9023)
654: (x, y) = (-13.8815, 51.8248)
655: (x, y) = (-11.9689, 51.2401)
656: (x, y) = (-12.9078, 49.4742)
657: (x, y) = (-12.9078, 51.4742)
658: (x, y) = (-12.6295, 49.4936)
659: (x, y) = (-13.7479, 51.1517)
660: (x, y) = (-13.7828, 53.1514)
661: (x, y) = (-12.2965, 54.4897)
662: (x, y) = (-10.7644, 55.7752)
663: (x, y) = (-10.6597, 57.7725)
664: (x, y) = (-10.834, 59.7649)
665: (x, y) = (-8.94298, 60.416)
666: (x, y) = (-9.65972, 62.2832)
667: (x, y) = (-9.69462, 64.2829)
668: (x, y) = (-9.52031, 62.2905)
669: (x, y) = (-10.2695, 64.1448)
670: (x, y) = (-9.75188, 62.213)
671: (x, y) = (-11.2382, 63.5513)
672: (x, y) = (-12.6022, 65.014)
673: (x, y) = (-10.9248, 66.1032)
674: (x, y) = (-12.6741, 67.0729)
675: (x, y) = (-14.3321, 65.9545)
676: (x, y) = (-12.6178, 66.9846)
677: (x, y) = (-11.9011, 65.1174)
678: (x, y) = (-11.1196, 63.2764)
679: (x, y) = (-13.1047, 63.5201)
680: (x, y) = (-11.5287, 62.2888)
681: (x, y) = (-10.1145, 60.8746)
682: (x, y) = (-8.5172, 62.0782)
683: (x, y) = (-6.5175, 62.0433)
684: (x, y) = (-7.48712, 60.2941)
685: (x, y) = (-8.20386, 62.1612)
686: (x, y) = (-6.30174, 61.5432)
687: (x, y) = (-7.39102, 63.2205)
688: (x, y) = (-6.83975, 65.1431)
689: (x, y) = (-7.18704, 63.1734)
690: (x, y) = (-8.18704, 64.9055)
691: (x, y) = (-6.58977, 66.1091)
692: (x, y) = (-5.52993, 64.413)
693: (x, y) = (-7.40932, 65.0971)
694: (x, y) = (-8.55647, 66.7354)
695: (x, y) = (-8.59138, 64.7357)
696: (x, y) = (-7.33274, 66.29)
697: (x, y) = (-8.45112, 64.6319)
698: (x, y) = (-9.68244, 63.0559)
699: (x, y) = (-8.02437, 61.9375)
700: (x, y) = (-9.55646, 60.6519)
701: (x, y) = (-11.4108, 61.4011)
702: (x, y) = (-11.9285, 63.333)
703: (x, y) = (-13.3178, 61.8943)
704: (x, y) = (-12.4098, 63.6763)
705: (x, y) = (-12.8936, 61.7357)
706: (x, y) = (-11.5554, 60.2494)
707: (x, y) = (-11.7297, 62.2418)
708: (x, y) = (-10.7297, 63.9739)
709: (x, y) = (-11.5749, 62.1613)
710: (x, y) = (-11.6447, 60.1625)
711: (x, y) = (-12.196, 58.2399)
712: (x, y) = (-14.0754, 57.5559)
713: (x, y) = (-12.9282, 55.9176)
714: (x, y) = (-13.513, 54.005)
715: (x, y) = (-13.2346, 55.9855)
716: (x, y) = (-12.6166, 54.0834)
717: (x, y) = (-13.735, 52.4253)
718: (x, y) = (-13.2851, 54.3741)
719: (x, y) = (-14.4607, 52.756)
720: (x, y) = (-15.8993, 54.1454)
721: (x, y) = (-17.8119, 53.5606)
722: (x, y) = (-17.7421, 51.5618)
723: (x, y) = (-16.43, 50.0524)
724: (x, y) = (-17.7421, 48.543)
725: (x, y) = (-17.777, 46.5433)
726: (x, y) = (-19.3091, 45.2577)
727: (x, y) = (-18.9275, 43.2945)
728: (x, y) = (-17.0149, 43.8792)
729: (x, y) = (-17.1196, 45.8765)
730: (x, y) = (-17.901, 44.0355)
731: (x, y) = (-18.9903, 42.3581)
732: (x, y) = (-20.0796, 44.0355)
733: (x, y) = (-21.5183, 42.6462)
734: (x, y) = (-21.9682, 44.5949)
735: (x, y) = (-23.9572, 44.3858)
736: (x, y) = (-24.9873, 46.1002)
737: (x, y) = (-23.8401, 47.7385)
738: (x, y) = (-23.4585, 45.7752)
739: (x, y) = (-22.2549, 47.3725)
740: (x, y) = (-24.2354, 47.6508)
741: (x, y) = (-23.2658, 49.4001)
742: (x, y) = (-22.0622, 47.8028)
743: (x, y) = (-20.1134, 48.2527)
744: (x, y) = (-21.1733, 46.5566)
745: (x, y) = (-23.0404, 45.8399)
746: (x, y) = (-21.3631, 44.7506)
747: (x, y) = (-19.8088, 46.0092)
748: (x, y) = (-18.5502, 44.4549)
749: (x, y) = (-18.3411, 42.4659)
750: (x, y) = (-18.2364, 40.4686)
751: (x, y) = (-18.0621, 42.461)
752: (x, y) = (-16.1215, 41.9772)
753: (x, y) = (-15.0323, 43.6545)
754: (x, y) = (-15.1021, 41.6557)
755: (x, y) = (-16.7404, 40.5086)
756: (x, y) = (-18.6425, 39.8906)
757: (x, y) = (-16.6428, 39.9255)
758: (x, y) = (-18.0815, 41.3148)
759: (x, y) = (-19.7198, 40.1676)
760: (x, y) = (-18.0617, 39.0492)
761: (x, y) = (-18.5455, 37.1087)
762: (x, y) = (-16.9072, 35.9615)
763: (x, y) = (-16.8723, 37.9612)
764: (x, y) = (-17.8723, 39.6932)
765: (x, y) = (-17.1231, 41.5476)
766: (x, y) = (-18.8005, 42.6369)
767: (x, y) = (-19.5819, 44.4779)
768: (x, y) = (-17.5868, 44.3384)
769: (x, y) = (-16.5567, 42.6241)
770: (x, y) = (-14.9807, 43.8554)
771: (x, y) = (-16.937, 44.2712)
772: (x, y) = (-18.1126, 42.6532)
773: (x, y) = (-19.6886, 41.4218)
774: (x, y) = (-18.4849, 43.0191)
775: (x, y) = (-19.2664, 44.8601)
776: (x, y) = (-18.5497, 42.993)
777: (x, y) = (-16.6703, 43.677)
778: (x, y) = (-14.8432, 44.4905)
779: (x, y) = (-15.8432, 42.7584)
780: (x, y) = (-17.8065, 43.14)
781: (x, y) = (-16.8985, 41.358)
782: (x, y) = (-18.8111, 40.7733)
783: (x, y) = (-20.6237, 41.6185)
784: (x, y) = (-21.9877, 40.1558)
785: (x, y) = (-22.539, 42.0783)
786: (x, y) = (-23.4779, 40.3124)
787: (x, y) = (-22.6327, 42.1251)
788: (x, y) = (-23.2174, 44.0377)
789: (x, y) = (-23.8686, 42.1466)
790: (x, y) = (-25.6506, 43.0546)
791: (x, y) = (-24.5034, 41.4163)
792: (x, y) = (-26.1808, 42.5056)
793: (x, y) = (-27.1197, 44.2715)
794: (x, y) = (-27.2592, 42.2764)
795: (x, y) = (-28.7686, 43.5885)
796: (x, y) = (-27.7088, 45.2846)
797: (x, y) = (-26.5052, 46.8818)
798: (x, y) = (-27.6523, 48.5201)
799: (x, y) = (-26.4767, 50.1382)
800: (x, y) = (-27.8661, 48.6995)
801: (x, y) = (-29.7787, 49.2842)
802: (x, y) = (-29.953, 51.2766)
803: (x, y) = (-30.3346, 53.2399)
804: (x, y) = (-28.4674, 53.9566)
805: (x, y) = (-30.1635, 55.0165)
806: (x, y) = (-30.024, 57.0116)
807: (x, y) = (-28.6858, 55.5253)
808: (x, y) = (-27.1763, 56.8374)
809: (x, y) = (-27.8604, 58.7168)
810: (x, y) = (-29.8167, 58.301)
811: (x, y) = (-31.5487, 57.301)
812: (x, y) = (-31.2359, 55.3256)
813: (x, y) = (-31.5142, 53.3451)
814: (x, y) = (-29.5218, 53.5194)
815: (x, y) = (-27.6197, 54.1374)
816: (x, y) = (-28.6197, 52.4054)
817: (x, y) = (-29.5893, 54.1546)
818: (x, y) = (-28.1506, 52.7653)
819: (x, y) = (-29.7049, 51.5066)
820: (x, y) = (-27.7353, 51.8539)
821: (x, y) = (-28.3865, 53.745)
822: (x, y) = (-30.309, 54.2963)
823: (x, y) = (-32.15, 55.0777)
824: (x, y) = (-32.4629, 57.0531)
825: (x, y) = (-31.7788, 58.9325)
826: (x, y) = (-33.7421, 59.3141)
827: (x, y) = (-35.5831, 60.0956)
828: (x, y) = (-33.5907, 59.9212)
829: (x, y) = (-32.7772, 58.0942)
830: (x, y) = (-32.5682, 60.0832)
831: (x, y) = (-32.7077, 62.0783)
832: (x, y) = (-32.9514, 64.0634)
833: (x, y) = (-34.9511, 64.0983)
834: (x, y) = (-34.1696, 65.9393)
835: (x, y) = (-32.1943, 65.6265)
836: (x, y) = (-30.5169, 64.5372)
837: (x, y) = (-32.2989, 65.4452)
838: (x, y) = (-34.2913, 65.6195)
839: (x, y) = (-32.3108, 65.8978)
840: (x, y) = (-33.725, 67.312)
841: (x, y) = (-34.725, 65.58)
842: (x, y) = (-34.725, 67.58)
843: (x, y) = (-34.1737, 65.6575)
844: (x, y) = (-35.7498, 66.8888)
845: (x, y) = (-35.9241, 68.8812)
846: (x, y) = (-34.7769, 67.2429)
847: (x, y) = (-32.9225, 67.9921)
848: (x, y) = (-34.5609, 66.8449)
849: (x, y) = (-35.9248, 68.3076)
850: (x, y) = (-36.8945, 66.5584)
851: (x, y) = (-37.1382, 68.5435)
852: (x, y) = (-38.0772, 66.7776)
853: (x, y) = (-36.6629, 68.1918)
854: (x, y) = (-37.8666, 69.7891)
855: (x, y) = (-35.9755, 69.1379)
856: (x, y) = (-34.0268, 68.688)
857: (x, y) = (-33.15, 66.8905)
858: (x, y) = (-31.1804, 67.2378)
859: (x, y) = (-29.2783, 66.6197)
860: (x, y) = (-30.5639, 65.0876)
861: (x, y) = (-30.7034, 67.0828)
862: (x, y) = (-30.2196, 69.0233)
863: (x, y) = (-32.1106, 68.3722)
864: (x, y) = (-33.7489, 69.5194)
865: (x, y) = (-35.3462, 70.723)
866: (x, y) = (-34.4072, 72.4889)
867: (x, y) = (-35.1887, 74.3299)
868: (x, y) = (-37.145, 74.7457)
869: (x, y) = (-38.2048, 73.0496)
870: (x, y) = (-36.2197, 72.8059)
871: (x, y) = (-38.2121, 72.9802)
872: (x, y) = (-39.1511, 74.7461)
873: (x, y) = (-38.942, 76.7351)
874: (x, y) = (-39.3578, 78.6914)
875: (x, y) = (-39.7051, 76.7218)
876: (x, y) = (-38.4465, 78.2761)
877: (x, y) = (-38.1336, 76.3007)
878: (x, y) = (-37.7178, 74.3444)
879: (x, y) = (-39.2041, 75.6827)
880: (x, y) = (-37.9728, 77.2587)
881: (x, y) = (-36.3345, 78.4059)
882: (x, y) = (-37.4528, 76.7478)
883: (x, y) = (-39.3934, 77.2316)
884: (x, y) = (-39.0461, 79.2013)
885: (x, y) = (-40.1933, 77.563)
886: (x, y) = (-38.3023, 78.2141)
887: (x, y) = (-37.3326, 76.4649)
888: (x, y) = (-39.308, 76.7777)
889: (x, y) = (-37.5588, 77.7473)
890: (x, y) = (-37.1772, 75.7841)
891: (x, y) = (-37.0725, 73.7868)
892: (x, y) = (-35.0774, 73.6473)
893: (x, y) = (-36.3629, 72.1152)
894: (x, y) = (-37.1121, 73.9696)
895: (x, y) = (-38.6664, 75.2282)
896: (x, y) = (-36.7177, 75.6781)
897: (x, y) = (-38.7101, 75.8524)
898: (x, y) = (-39.8857, 77.4705)
899: (x, y) = (-38.7101, 79.0885)
900: (x, y) = (-38.1924, 77.1567)
901: (x, y) = (-36.2119, 76.8783)
902: (x, y) = (-37.524, 75.3689)
903: (x, y) = (-36.0613, 76.7329)
904: (x, y) = (-35.5775, 78.6735)
905: (x, y) = (-37.4185, 77.892)
906: (x, y) = (-36.3292, 76.2147)
907: (x, y) = (-34.3295, 76.1798)
908: (x, y) = (-32.3405, 75.9707)
909: (x, y) = (-32.5842, 77.9558)
910: (x, y) = (-30.6146, 78.3031)
911: (x, y) = (-30.3362, 76.3226)
912: (x, y) = (-31.6745, 77.8089)
913: (x, y) = (-32.488, 75.9818)
914: (x, y) = (-32.2789, 77.9708)
915: (x, y) = (-32.0699, 79.9599)
916: (x, y) = (-30.0848, 79.7161)
917: (x, y) = (-28.2722, 78.8709)
918: (x, y) = (-26.4312, 79.6523)
919: (x, y) = (-28.3537, 80.2036)
920: (x, y) = (-26.3613, 80.3779)
921: (x, y) = (-28.3564, 80.5174)
922: (x, y) = (-27.9065, 82.4662)
923: (x, y) = (-29.1101, 80.8689)
924: (x, y) = (-27.7208, 82.3076)
925: (x, y) = (-26.7512, 84.0568)
926: (x, y) = (-24.8106, 84.5407)
927: (x, y) = (-24.0614, 82.6863)
928: (x, y) = (-24.6794, 84.5884)
929: (x, y) = (-22.7307, 85.0383)
930: (x, y) = (-20.7901, 84.5545)
931: (x, y) = (-19.1128, 85.6438)
932: (x, y) = (-17.1204, 85.8181)
933: (x, y) = (-17.0157, 87.8153)
934: (x, y) = (-16.5319, 89.7559)
935: (x, y) = (-16.219, 91.7313)
936: (x, y) = (-18.1316, 92.316)
937: (x, y) = (-18.7827, 90.425)
938: (x, y) = (-17.4445, 88.9387)
939: (x, y) = (-19.2855, 89.7202)
940: (x, y) = (-17.3292, 89.3044)
941: (x, y) = (-15.7532, 88.073)
942: (x, y) = (-15.2693, 90.0136)
943: (x, y) = (-13.2888, 89.7353)
944: (x, y) = (-12.9415, 91.7049)
945: (x, y) = (-11.2454, 92.7647)
946: (x, y) = (-10.7616, 94.7053)
947: (x, y) = (-10.1768, 96.6179)
948: (x, y) = (-8.19627, 96.8963)
949: (x, y) = (-8.50914, 98.8717)
950: (x, y) = (-9.16028, 100.763)
After 950 steps the subject  has the following location:
(x, y) = (-9.16028, 100.763)
or
(m, a) = (101.178, 95.1944)
Average outward distance per step = 0.106503
